Iteration,Best_Fitness,Stagnation_Counter,Total_Load_Shed,Gen_Deviation_Sum,Gen_Rescheduling_Cost,Num_Line_Violations,Max_Line_Violation_Pct,Prob_OOA,Prob_KHA,Prob_SHO,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14
0,13176548.270095851,0,131.76345260796876,131.76345260796876,2029.892989759846,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,119.92478752009418,17.611759871937068,-49.507907908866216,-24.515307735679045,-25.697589581032837,-5.234059682706873,0.0,0.0,-12.921903552729455,-5.425824455541578,-1.8592086605586329,-2.5157887732220154,-2.463486831381064,-7.395470210313519
1,9689857.146692544,0,85.51521269670867,96.89708935589346,1481.9110319863637,0,0.0,0.3460188933873144,0.31666666666666665,0.3373144399460189,149.79384897369894,33.990938329592396,-63.18251192709771,-29.210476974187948,-32.427965848310706,-8.201085923668611,0.0,0.0,-22.8575135611525,-6.644870550432179,-2.19444614005024,-4.9598287212491625,-3.8291380938871784,-10.276949563255094
2,9195928.28862089,0,80.15711844224006,91.95787381621322,1408.869995678131,0,0.0,0.35889287583165136,0.30083333333333334,0.34027379083501536,154.94250387077335,34.20037768698657,-65.5491281912774,-30.640833041286236,-33.58824360705663,-7.560596213393558,0.0,0.0,-23.35836442884564,-6.8248778180204495,-2.2946261497413687,-5.045036904674331,-3.6515515594903527,-10.629623643973988
3,9047969.618672622,0,81.53892717289133,90.47831646350605,1379.5232201791275,0,0.0,0.37252717940848984,0.28579166666666667,0.3416811539248435,154.9913781818013,32.76969464530736,-60.99425341827727,-35.17637313152386,-31.552022391064455,-7.44867539525936,0.0,0.0,-23.321525082856787,-7.519046631416963,-2.452666199947707,-5.076773808034212,-3.8264910100542178,-10.393245758673851
4,8799486.093162164,0,87.70052687765177,87.99354009598716,1320.6356344856458,0,0.0,0.3843241406828625,0.27569937473747663,0.3399764845796608,153.1529665131805,28.446506609167667,-59.26998136206942,-34.71406247849961,-30.938967419037002,-6.641685094898578,0.0,0.0,-22.45982182619694,-7.4170393742479295,-2.38531237347841,-4.868981694376041,-3.727139865200072,-9.176481634344224
5,8645521.38006447,0,86.2262512900407,86.45391622273902,1297.3779056728313,0,0.0,0.398977630959398,0.2657045864139407,0.3353177826266614,154.65991624361016,28.413832466349184,-59.660706159268216,-34.29515108572562,-31.092089453323464,-7.2313412458822475,0.0,0.0,-22.505804336699235,-7.355342791688499,-2.240854501316611,-4.882075257778119,-3.7095508795550742,-10.100832998722241
6,8645521.38006447,1,86.2262512900407,86.45391622273902,1297.3779056728313,0,0.0,0.4106503710330497,0.25944638412027066,0.32990324484667966,154.65991624361016,28.413832466349184,-59.660706159268216,-34.29515108572562,-31.092089453323464,-7.2313412458822475,0.0,0.0,-22.505804336699235,-7.355342791688499,-2.240854501316611,-4.882075257778119,-3.7095508795550742,-10.100832998722241
7,8645521.38006447,2,86.2262512900407,86.45391622273902,1297.3779056728313,0,0.0,0.4214266524670064,0.25374120347985224,0.3248321440531413,154.65991624361016,28.413832466349184,-59.660706159268216,-34.29515108572562,-31.092089453323464,-7.2313412458822475,0.0,0.0,-22.505804336699235,-7.355342791688499,-2.240854501316611,-4.882075257778119,-3.7095508795550742,-10.100832998722241
8,8645521.38006447,3,86.2262512900407,86.45391622273902,1297.3779056728313,0,0.0,0.4314132947301108,0.24840119112846182,0.3201855141414273,154.65991624361016,28.413832466349184,-59.660706159268216,-34.29515108572562,-31.092089453323464,-7.2313412458822475,0.0,0.0,-22.505804336699235,-7.355342791688499,-2.240854501316611,-4.882075257778119,-3.7095508795550742,-10.100832998722241
9,8645521.38006447,4,86.2262512900407,86.45391622273902,1297.3779056728313,0,0.0,0.44092977592728827,0.2433282302694802,0.3157419938032316,154.65991624361016,28.413832466349184,-59.660706159268216,-34.29515108572562,-31.092089453323464,-7.2313412458822475,0.0,0.0,-22.505804336699235,-7.355342791688499,-2.240854501316611,-4.882075257778119,-3.7095508795550742,-10.100832998722241
