Iteration,Best_Fitness,Stagnation_Counter,Total_Load_Shed,Gen_Deviation_Sum,Gen_Rescheduling_Cost,Num_Line_Violations,Max_Line_Violation_Pct,Prob_OOA,Prob_KHA,Prob_SHO,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14
0,21432588.28552571,0,15.823426100049716,56.09115375453763,467.8002223128438,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,199.04271007270629,81.43386382724391,-201.7767772603448,-1.3328726897890109,-0.9876964313368866,-10.904693429506622,0.0,0.0,-27.213522978740407,-8.87526079708608,-3.448076390445674,-5.875668404764666,-5.162005517936123,-14.9
1,16609333.640291551,0,8.298061098767025,83.1120319608987,693.1543465538952,0,0.0,0.3546666666666667,0.32866666666666666,0.31666666666666665,189.29495347016714,98.70698543106585,-207.7624594282657,-1.3565212302625513,-0.9605526038666887,-11.081017220697431,0.0,0.0,-28.527311322039168,-8.799737406000023,-3.1892818045172904,-6.1,-5.427577935190591,-14.797479950393532
2,14190665.652570125,0,7.5788306809273625,66.11779799399234,551.4224352698961,0,0.0,0.3685122807017544,0.32451403508771925,0.3069736842105263,198.15168566254016,90.5694836565325,-209.0016734226654,-1.3944368300093781,-0.9349208894056628,-11.146650688664916,0.0,0.0,-29.5,-8.152837203308353,-3.284365698077324,-6.031477019677457,-5.33407251912048,-13.940735048143663
3,13878606.398226015,0,7.266987639700432,66.11563598085176,551.4044040803037,0,0.0,0.37925719186841295,0.3235218298275786,0.2972209783040085,198.30868818972385,90.72432417057561,-208.99878063715022,-1.390075206743602,-0.9320982930013654,-11.149033253464548,0.0,0.0,-29.495769683188943,-8.336920775057221,-3.2822733702989977,-6.036355197581048,-5.470725164000835,-13.940980779812778
4,13433410.34396585,0,6.851198636349241,65.82156772429128,548.9518748205893,0,0.0,0.3857510697321007,0.3262968651098248,0.2879520651580745,198.66361681967976,90.78518454397104,-208.7140934086849,-1.3899996777639319,-0.9336885596738184,-11.2,0.0,0.0,-29.494763068235724,-8.34942881565611,-3.5,-6.023325331763107,-5.4672086801298745,-14.37629382174328
5,13270267.802095493,0,6.6629574003291205,66.07255237257695,551.0450867872918,0,0.0,0.3944496786186612,0.3273228453557786,0.27822747602556014,198.63224511354696,91.0047974861239,-208.88382933895596,-1.3910663688931606,-0.9329186832612666,-11.2,0.0,0.0,-29.5,-8.33228815527545,-3.5,-6.034800132796504,-5.5,-14.362139920488525
6,12149255.378227223,0,5.376486223878608,67.72712599925532,564.8442308337894,0,0.0,0.40413060377863724,0.3274339758152624,0.2684354204061003,198.44819388843302,92.47531988768834,-210.13332814436222,-1.4,-0.9223020777435825,-11.2,0.0,0.0,-29.5,-8.280213493062448,-3.5,-6.0458193236682245,-5.5,-14.441850737284902
7,12076601.438775113,0,5.377808053779099,66.98737467525534,558.6747047916296,0,0.0,0.4154423638079754,0.32587533280461245,0.2586823033874121,198.8174086354828,92.10478331073813,-210.13802842979555,-1.4,-0.9223343359264103,-11.2,0.0,0.0,-29.5,-8.281470301869202,-3.4979650033270486,-6.045627112002505,-5.497512341747938,-14.439254421552231
8,12076601.438775113,1,5.377808053779099,66.98737467525534,558.6747047916296,0,0.0,0.42400280407063384,0.32670848499506566,0.24928871093430052,198.8174086354828,92.10478331073813,-210.13802842979555,-1.4,-0.9223343359264103,-11.2,0.0,0.0,-29.5,-8.281470301869202,-3.4979650033270486,-6.045627112002505,-5.497512341747938,-14.439254421552231
9,12024035.194935102,0,5.166324674161475,68.57653277945289,571.9282833806371,0,0.0,0.4318422706324669,0.32768586978526965,0.24047185958226353,198.12857127319282,93.0051040526457,-209.26008719534255,-1.3936116128949316,-1.0,-11.2,0.0,0.0,-29.5,-8.9800680743588,-3.4967967992078384,-6.069282412739508,-5.496910340251677,-14.73691889104321
10,12017646.817830034,0,5.159936287056406,68.57653277945289,571.9282833806371,0,0.0,0.4377536330914463,0.3304923133803583,0.23175405352819534,198.13176546674535,93.00829824619824,-209.26008719534255,-1.4,-1.0,-11.2,0.0,0.0,-29.5,-8.9800680743588,-3.4967967992078384,-6.069282412739508,-5.496910340251677,-14.73691889104321
