0.6182,-0.2198,-0.1284,-0.0493,0.0076,-0.0117,-0.0391,-0.0391,-0.0337,-0.0298,-0.0209,-0.0135,-0.0148,-0.0255
0.3104,0.1484,0.0569,-0.0221,-0.0791,-0.0597,-0.0323,-0.0323,-0.0377,-0.0416,-0.0505,-0.0579,-0.0566,-0.0460
0.1385,0.1658,-0.3936,-0.0129,0.0354,0.0190,-0.0042,-0.0042,0.0003,0.0036,0.0112,0.0175,0.0163,0.0073
0.2205,0.2777,0.0771,-0.0963,0.0048,-0.0296,-0.0782,-0.0782,-0.0686,-0.0617,-0.0459,-0.0327,-0.0351,-0.0540
0.1878,0.2652,0.1167,-0.0116,-0.1040,-0.0726,-0.0281,-0.0281,-0.0369,-0.0432,-0.0576,-0.0697,-0.0675,-0.0503
-0.0670,-0.0944,-0.5350,0.0843,0.0360,0.0525,0.0757,0.0757,0.0711,0.0678,0.0603,0.0539,0.0551,0.0641
0.1479,0.0679,-0.1592,-0.3554,0.4495,0.1758,-0.2111,-0.2111,-0.1351,-0.0799,0.0457,0.1512,0.1320,-0.0183
0.2492,0.2521,0.2603,0.2674,0.2383,0.0322,-0.3850,-0.3850,-0.2021,-0.1605,-0.0658,0.0136,-0.0008,-0.1141
0.1148,0.1164,0.1211,0.1252,0.1085,-0.0098,-0.0514,-0.0514,-0.1442,-0.1203,-0.0660,-0.0204,-0.0287,-0.0937
0.2789,0.2743,0.2614,0.2503,0.2960,-0.3795,0.0792,0.0792,-0.0108,-0.0763,-0.2253,-0.3504,-0.3276,-0.1493
0.0538,0.0510,0.0433,0.0365,0.0641,0.2595,-0.0665,-0.0665,-0.1207,-0.2308,-0.4812,0.2295,0.2060,0.0221
0.0585,0.0581,0.0570,0.0560,0.0600,0.0887,0.0409,0.0409,0.0329,0.0428,0.0654,-0.4615,-0.1101,-0.0296
0.0951,0.0937,0.0897,0.0863,0.1004,0.2008,0.0334,0.0334,0.0055,0.0402,0.1191,-0.1897,-0.4949,-0.2133
0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,-0.9286,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
0.1064,0.1093,0.1175,0.1245,0.0955,-0.1107,0.4722,0.4722,-0.3450,-0.3033,-0.2087,-0.1292,-0.1437,-0.2570
0.0891,0.0918,0.0996,0.1063,0.0788,-0.1166,0.2093,0.2093,0.2635,-0.6263,-0.3759,-0.0866,-0.0631,0.1207
0.0606,0.0624,0.0676,0.0720,0.0538,-0.0753,0.1401,0.1401,0.1759,0.1312,0.0298,-0.1345,-0.1807,-0.5428
0.0177,0.0204,0.0282,0.0349,0.0073,-0.1881,0.1379,0.1379,0.1921,0.3023,-0.4474,-0.1580,-0.1345,0.0493
-0.0129,-0.0133,-0.0144,-0.0154,-0.0114,0.0173,-0.0306,-0.0306,-0.0385,-0.0286,-0.0060,0.4670,-0.1816,-0.1011
0.0108,0.0090,0.0039,-0.0006,0.0176,0.1467,-0.0686,-0.0686,-0.1044,-0.0598,0.0417,0.2059,0.2521,-0.3858
