Iteration,Best_Fitness,Stagnation_Counter,Total_Load_Shed,Gen_Deviation_Sum,Gen_Rescheduling_Cost,Num_Line_Violations,Max_Line_Violation_Pct,Prob_OOA,Prob_KHA,Prob_SHO,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14
0,15958580.073820092,0,8.946012157022619,70.12509412468974,584.8432849999124,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,195.4644468591438,91.88954098383354,-209.20585854179853,-1.2995650583496074,-0.9103379503701773,-10.467885740240328,0.0,0.0,-28.71291211787229,-8.309998557164104,-3.220029859082326,-5.480260523159361,-4.962242529579075,-14.784896965361567
1,15421114.49215069,0,7.955421067793248,74.65631140993727,622.6336371588768,0,0.0,0.31666666666666665,0.36666666666666664,0.31666666666666665,193.69413376113474,94.65044517107201,-209.10479582381564,-1.3008625552438682,-0.8929060590966754,-10.328535655629409,0.0,0.0,-29.280651473426403,-8.453939830171533,-3.20725750772702,-5.933484157859018,-4.969302543276084,-14.872843325961094
2,13857395.091107208,0,6.807103606411528,70.50232665755249,587.9894043239877,0,0.0,0.30083333333333334,0.3983333333333334,0.30083333333333334,196.34528486801798,93.14761152557047,-210.6400061665352,-1.3356620185310824,-0.9215278724429105,-10.004508012821276,0.0,0.0,-29.030347648610828,-8.532756059438723,-3.3453446205126895,-5.7311738932908565,-5.119442135698844,-14.832127965706063
3,13182310.274222665,0,6.747657235875263,64.3459935378879,536.6455861059851,0,0.0,0.30788468992248064,0.4063236434108527,0.28579166666666667,199.45317461311845,90.09916815100635,-210.81171996464997,-1.3039803324131511,-0.9492567520605765,-10.703465608946994,0.0,0.0,-29.2993058042133,-8.39650539461752,-3.4291412182036467,-5.8437345203051825,-4.5680109602452434,-14.247222208469143
4,13182310.274222665,1,6.747657235875263,64.3459935378879,536.6455861059851,0,0.0,0.3165269665825432,0.41197095008412343,0.2715020833333333,199.45317461311845,90.09916815100635,-210.81171996464997,-1.3039803324131511,-0.9492567520605765,-10.703465608946994,0.0,0.0,-29.2993058042133,-8.39650539461752,-3.4291412182036467,-5.8437345203051825,-4.5680109602452434,-14.247222208469143
5,13182310.274222665,2,6.747657235875263,64.3459935378879,536.6455861059851,0,0.0,0.3246709642171723,0.4174020566161611,0.2579269791666667,199.45317461311845,90.09916815100635,-210.81171996464997,-1.3039803324131511,-0.9492567520605765,-10.703465608946994,0.0,0.0,-29.2993058042133,-8.39650539461752,-3.4291412182036467,-5.8437345203051825,-4.5680109602452434,-14.247222208469143
6,12939370.597443046,0,6.256380841476668,66.829339902969,557.3566947907614,0,0.0,0.3332273319727002,0.42174203781896646,0.24503063020833332,198.4571396277772,91.58647953074619,-210.64022819383203,-1.3376073661041987,-0.9265348874809364,-10.024004339784673,0.0,0.0,-29.04149452872338,-8.524427675669047,-3.497415585922864,-5.735140866316255,-5.5,-14.816765714689936
7,12939370.597443046,1,6.256380841476668,66.829339902969,557.3566947907614,0,0.0,0.33881783303681867,0.4284030682652647,0.2327790986979167,198.4571396277772,91.58647953074619,-210.64022819383203,-1.3376073661041987,-0.9265348874809364,-10.024004339784673,0.0,0.0,-29.04149452872338,-8.524427675669047,-3.497415585922864,-5.735140866316255,-5.5,-14.816765714689936
8,12939370.597443046,2,6.256380841476668,66.829339902969,557.3566947907614,0,0.0,0.34422611871587355,0.4346337375211056,0.22114014376302085,198.4571396277772,91.58647953074619,-210.64022819383203,-1.3376073661041987,-0.9265348874809364,-10.024004339784673,0.0,0.0,-29.04149452872338,-8.524427675669047,-3.497415585922864,-5.735140866316255,-5.5,-14.816765714689936
9,12738249.423467742,0,6.314985336345472,64.23210497546721,535.6957554953965,0,0.0,0.34873158493197864,0.4411852784931516,0.2100831365748698,199.7264548440936,90.25855981956082,-210.73897626815997,-1.3161962459888021,-0.9367287877108132,-10.622419425789632,0.0,0.0,-29.191484454665783,-8.451740536728511,-3.4636151310431464,-5.795923466669238,-4.971900784148969,-14.496029562749648
